Frame,Class ID,Object Name,Confidence,X1,Y1,X2,Y2,Distance
0,0.0,person,0.9307996034622192,0.6285858154296875,71.13450622558594,240.28713989257812,479.6011962890625,0
0,0.0,person,0.268972784280777,414.96197509765625,418.19573974609375,621.4353637695312,479.75994873046875,0
1,0.0,person,0.9243783950805664,0.4668426513671875,70.71354675292969,241.8640899658203,479.63165283203125,0
1,0.0,person,0.2950698137283325,421.9583740234375,420.7281494140625,615.81982421875,479.68731689453125,0
2,0.0,person,0.9251886010169983,0.6008148193359375,70.23582458496094,241.6619415283203,479.6361083984375,0
2,0.0,person,0.2964450418949127,420.3170166015625,421.7279052734375,626.730224609375,479.75537109375,0
3,0.0,person,0.9234558343887329,0.38824462890625,74.84001159667969,239.584228515625,479.66925048828125,0
4,0.0,person,0.921459436416626,0.2491455078125,74.89352416992188,244.76486206054688,479.9132995605469,0
4,0.0,person,0.2957778871059418,421.45556640625,421.745361328125,614.7677001953125,479.68670654296875,0
5,0.0,person,0.9088888764381409,0.4968414306640625,51.568572998046875,223.57460021972656,479.4449157714844,0
6,0.0,person,0.9111466407775879,0.460113525390625,52.87016296386719,224.1944580078125,479.42388916015625,0
7,0.0,person,0.9118285179138184,0.5083160400390625,50.88426208496094,225.4439239501953,479.4302978515625,0
8,0.0,person,0.9191343188285828,0.48406982421875,52.76904296875,223.27066040039062,479.4034423828125,0
9,0.0,person,0.9106498956680298,0.3937835693359375,56.09130859375,223.36537170410156,479.28057861328125,0
10,0.0,person,0.907086193561554,0.4610595703125,50.73027038574219,227.09567260742188,479.39691162109375,0
11,0.0,person,0.9124142527580261,0.5191497802734375,52.23139953613281,223.99911499023438,479.38763427734375,0
12,0.0,person,0.9117452502250671,0.44427490234375,51.77268981933594,223.66775512695312,479.43798828125,0
13,0.0,person,0.9105772972106934,0.4275665283203125,50.65777587890625,224.6573944091797,479.4222412109375,0
14,0.0,person,0.9120648503303528,0.493438720703125,52.864013671875,224.57095336914062,479.41326904296875,0
15,0.0,person,0.8972973823547363,0.3237762451171875,54.57093811035156,226.20574951171875,479.4749755859375,0
16,0.0,person,0.9105967879295349,0.51092529296875,51.31318664550781,227.13148498535156,479.37591552734375,0
17,0.0,person,0.9176346659660339,0.4250335693359375,51.552490234375,224.38882446289062,479.372802734375,0
18,0.0,person,0.9053359031677246,0.43914794921875,52.54962158203125,225.64932250976562,479.41912841796875,0
19,0.0,person,0.9035499095916748,0.6019134521484375,54.44221496582031,229.27590942382812,479.50299072265625,0
20,0.0,person,0.9096826910972595,0.46234130859375,51.077850341796875,228.92041015625,479.3285217285156,0
21,0.0,person,0.905243992805481,0.428802490234375,52.87855529785156,227.2655029296875,479.4146728515625,0
21,61.0,toilet,0.2585436701774597,424.3243408203125,400.5116271972656,639.8760986328125,479.8432312011719,0
22,0.0,person,0.9140486121177673,0.40032958984375,51.899810791015625,226.37570190429688,479.4070129394531,0
