Frame,Class ID,Object Name,Confidence,X1,Y1,X2,Y2,Distance
Frame,Trajectory,Class ID,Object Name,Confidence,Distance,X1,Y1,X2,Y2
63,Straight Track,9.0,traffic light,0.3428933620452881,990.4415283203125,791.7894287109375,1091.080322265625,996.2905883789062,0
125,Straight Track,6.0,train,0.3159598410129547,2275.28515625,805.0966186523438,2633.703125,1021.1083374023438,0
187,Straight Track,6.0,train,0.31662115454673767,2108.51025390625,671.1502075195312,3837.756591796875,1490.9737548828125,24.814854107356048
195,Straight Track,6.0,train,0.37294802069664,2080.626708984375,697.5362548828125,3838.516357421875,1372.1700439453125,34.91360381612753
207,Straight Track,9.0,traffic light,0.4063577950000763,2072.125,871.4786376953125,2112.03466796875,959.7825317382812,0
208,Straight Track,9.0,traffic light,0.3551700711250305,2071.474853515625,867.8466796875,2115.32373046875,950.6070556640625,0
209,Straight Track,9.0,traffic light,0.45850488543510437,2073.259521484375,858.4663696289062,2120.811279296875,946.3899536132812,0
210,Straight Track,9.0,traffic light,0.40274864435195923,2074.254638671875,856.919677734375,2131.2568359375,951.8214111328125,0
211,Straight Track,9.0,traffic light,0.4117512106895447,2073.497314453125,850.7389526367188,2129.1591796875,944.4838256835938,0
226,Right Curve,2.0,car,0.3051753640174866,839.3565673828125,1138.7235107421875,958.051025390625,1217.3944091796875,75.68578763518386
231,Right Curve,9.0,traffic light,0.401183158159256,2267.875732421875,603.7890014648438,2415.092529296875,778.600341796875,0
231,Right Curve,2.0,car,0.31478551030158997,516.5725708007812,1099.4722900390625,847.5501708984375,1238.2010498046875,65.59619921037529
232,Straight Track,9.0,traffic light,0.6117132902145386,2290.8896484375,576.066650390625,2445.2578125,762.8836669921875,0
232,Straight Track,2.0,car,0.39165136218070984,425.15240478515625,1114.62255859375,824.8138427734375,1238.4287109375,65.23318587273852
233,Straight Track,2.0,car,0.6955064535140991,339.9734802246094,1115.5430908203125,799.6834716796875,1245.6043701171875,62.383525862483054
234,Straight Track,2.0,car,0.7321774363517761,222.72396850585938,1116.09033203125,772.6184692382812,1259.1802978515625,57.70091495443553
235,Straight Track,2.0,car,0.7668357491493225,169.61151123046875,1116.8836669921875,745.1951904296875,1258.7896728515625,57.96216430757038
235,Straight Track,9.0,traffic light,0.4842557907104492,2365.230224609375,457.6917419433594,2565.76171875,687.82373046875,0
236,Straight Track,2.0,car,0.7252501249313354,127.51821899414062,1118.0361328125,717.953857421875,1264.852783203125,56.112505793357755
237,Straight Track,2.0,car,0.6170949935913086,66.48129272460938,1116.6796875,677.5555419921875,1267.6512451171875,55.371124507543925
238,Straight Track,2.0,car,0.7739670872688293,15.699325561523438,1118.580810546875,648.298095703125,1273.098388671875,53.982557994694936
239,Straight Track,2.0,car,0.6360355615615845,1.644287109375,1118.017822265625,605.0572509765625,1283.7857666015625,51.21184735886041
240,Straight Track,2.0,car,0.6932957768440247,1.465118408203125,1118.01171875,574.9518432617188,1287.516357421875,50.392262425148274
242,Straight Track,9.0,traffic light,0.38123106956481934,2887.419677734375,0.06621551513671875,3364.533203125,236.0067138671875,0
242,Straight Track,2.0,car,0.3467682898044586,0.9696807861328125,1120.6058349609375,493.4550476074219,1291.8658447265625,49.650281874649416
243,Straight Track,2.0,car,0.5241689682006836,1.1124114990234375,1117.5133056640625,450.7121276855469,1306.2020263671875,46.43645203919113
244,Straight Track,2.0,car,0.5579705834388733,0.8351898193359375,1120.9593505859375,406.5853271484375,1314.6666259765625,44.76987006142872
245,Straight Track,2.0,car,0.2742602229118347,2.1791152954101562,1127.2664794921875,353.8878479003906,1316.0753173828125,44.541250291958065
247,Straight Track,2.0,car,0.5697217583656311,0.372528076171875,1183.14404296875,234.7195281982422,1313.1197509765625,45.26742367644622
248,Straight Track,2.0,car,0.2687534689903259,0.6090545654296875,1182.1007080078125,170.13885498046875,1315.7242431640625,44.74252485212666
249,Straight Track,2.0,car,0.4909614026546478,0.45449066162109375,1192.2718505859375,111.91236877441406,1310.163330078125,45.79138936152175
252,Straight Track,6.0,train,0.2933352291584015,2079.174560546875,99.96354675292969,3839.27587890625,1547.1624755859375,22.180842644637007
253,Straight Track,6.0,train,0.4250151813030243,2122.005859375,113.42156982421875,3838.16015625,1525.8958740234375,23.24506103677617
254,Straight Track,6.0,train,0.3328195810317993,2075.0927734375,158.7340850830078,3839.090576171875,1580.6466064453125,20.65754563374071
256,Straight Track,9.0,traffic light,0.3682381510734558,1542.135986328125,932.0516967773438,1602.1246337890625,1008.4396362304688,0
258,Straight Track,9.0,traffic light,0.3491312265396118,1528.63916015625,921.6844482421875,1584.697265625,1039.109619140625,0
259,Straight Track,9.0,traffic light,0.32958123087882996,1526.4144287109375,921.117919921875,1581.10400390625,1013.2210693359375,0
263,Straight Track,0.0,person,0.3571974039077759,1175.6307373046875,1089.264404296875,1240.637939453125,1203.4647216796875,83.77481892380288
265,Straight Track,0.0,person,0.3929562270641327,1154.0037841796875,1078.2265625,1226.90478515625,1209.8673095703125,79.35081496313506
269,Straight Track,9.0,traffic light,0.4030982255935669,1427.6290283203125,884.763671875,1490.4119873046875,948.7529907226562,0
269,Straight Track,9.0,traffic light,0.25756627321243286,1427.7357177734375,884.4605712890625,1493.8997802734375,982.0931396484375,0
271,Straight Track,9.0,traffic light,0.35207706689834595,1406.8809814453125,862.957763671875,1465.4599609375,941.1793212890625,0
273,Straight Track,0.0,person,0.4045397639274597,999.322998046875,1084.1905517578125,1063.4197998046875,1231.9915771484375,67.91393518793467
