Frame,Class ID,Object Name,Confidence,X1,Y1,X2,Y2
0,2.0,car,0.8770967721939087,348.09906005859375,235.1661376953125,485.7125244140625,332.36663818359375
0,2.0,car,0.8615727424621582,479.0074157714844,153.70050048828125,592.8453369140625,224.81968688964844
0,2.0,car,0.846825361251831,129.59552001953125,155.44093322753906,243.68063354492188,251.25389099121094
0,2.0,car,0.820796549320221,368.9727783203125,122.47492980957031,472.059326171875,194.9720458984375
0,2.0,car,0.8053419589996338,614.5130615234375,177.77813720703125,736.9476318359375,264.0540771484375
0,2.0,car,0.8001139760017395,857.8463745117188,226.98553466796875,959.6596069335938,326.59613037109375
0,7.0,truck,0.7984014749526978,626.998779296875,69.22481536865234,760.96533203125,205.67404174804688
0,2.0,car,0.7739303112030029,104.09380340576172,82.03616333007812,192.75469970703125,148.08131408691406
0,2.0,car,0.76826012134552,621.4962158203125,361.70733642578125,752.56787109375,496.7826232910156
0,2.0,car,0.7578701972961426,58.76369094848633,136.75460815429688,160.1491241455078,226.1977996826172
0,2.0,car,0.7357367873191833,273.47528076171875,81.22225952148438,368.4241943359375,146.58444213867188
0,2.0,car,0.6728924512863159,0.3983001708984375,314.560791015625,189.47457885742188,533.7152099609375
0,2.0,car,0.6213245987892151,233.00152587890625,367.08563232421875,683.5528564453125,538.4152221679688
1,2.0,car,0.852787435054779,344.72088623046875,232.84828186035156,481.7723388671875,330.3080749511719
1,2.0,car,0.8929172158241272,489.1644592285156,155.20278930664062,602.0554809570312,228.06304931640625
1,2.0,car,0.8832123875617981,127.59237670898438,155.05223083496094,240.3957061767578,249.45567321777344
1,2.0,car,0.8295777440071106,378.14501953125,124.24359893798828,480.71099853515625,196.5329132080078
1,2.0,car,0.850774884223938,624.42919921875,179.65467834472656,748.4097290039062,267.77496337890625
1,2.0,car,0.8372212052345276,870.6224975585938,228.83197021484375,960.0,329.6286926269531
1,7.0,truck,0.7777780890464783,633.779052734375,69.1500015258789,767.5057983398438,206.72401428222656
1,2.0,car,0.7437580823898315,111.7309341430664,83.03547668457031,200.76258850097656,150.1002197265625
1,2.0,car,0.6661373972892761,617.8827514648438,357.48187255859375,746.6112670898438,493.3446350097656
1,2.0,car,0.6934141516685486,54.05750274658203,133.8461456298828,157.97958374023438,226.13734436035156
1,2.0,car,0.6936008930206299,281.0468444824219,82.85122680664062,376.28900146484375,147.16738891601562
1,2.0,car,0.6590716242790222,1.1352312564849854,314.92254638671875,190.6712188720703,534.373046875
1,2.0,car,0.6730939149856567,238.4313507080078,362.4486999511719,681.5518798828125,538.4149169921875
2,2.0,car,0.8513452410697937,338.073974609375,231.1054229736328,474.73779296875,327.6563720703125
2,2.0,car,0.8795557618141174,498.09393310546875,156.97584533691406,611.2738647460938,229.5870819091797
2,2.0,car,0.8148599863052368,122.16439819335938,154.14466857910156,234.8172149658203,247.5769500732422
2,2.0,car,0.8347960114479065,387.02783203125,125.16614532470703,492.01153564453125,198.3385772705078
2,2.0,car,0.8464022278785706,634.8607177734375,180.92469787597656,758.1746215820312,271.3139953613281
2,2.0,car,0.7627272605895996,883.7476196289062,232.1641082763672,960.0,334.6295471191406
2,7.0,truck,0.8112027049064636,642.6506958007812,69.32750701904297,776.0601806640625,209.35919189453125
2,2.0,car,0.6952364444732666,117.59024047851562,83.32730865478516,208.33287048339844,151.56080627441406
2,2.0,car,0.69574373960495,617.3911743164062,362.5136413574219,740.9490356445312,490.2524108886719
2,2.0,car,0.7373229265213013,47.74126052856445,133.16539001464844,148.23500061035156,223.59312438964844
2,2.0,car,0.8106392621994019,288.5362548828125,83.26305389404297,383.5079650878906,148.04611206054688
